Afghanistan,GER,BREHME  Albert,Biathlon
Netherlands Antilles,GER,GRAU  Fritz,Sport
Albania,GER,HOPMANN  Helmut,Biathlon
Algeria,GER,HUBER  Sebastian,Sport
Andorra,GER,HUTH  Werner,Biathlon
Angola,GER,KILIAN  Hanns,Sport
Antigua and Barbuda,GER,KROTKI  Rudolf,Biathlon
Australia and New Zealand,GER,LUDWIG  Max,Sport
Argentina,GER,MEHLHHORN  Hans,Biathlon
Armenia,GER,ROSSNER  Heinrich,Sport
Aruba,GER,ZAHN  Werner,Biathlon
American Samoa,USA,EAGAN  Edward,Sport
Australia,USA,FISKE  William,Biathlon
Austria,USA,GRAY  Clifford Barton,Sport
Azerbaijan,USA,O'BRIEN  Jay James,Biathlon
Bahamas,USA,STEVENS  J  Hubert,Sport
Bangladesh,USA,ASHFORTH  Albert,Biathlon
Barbados,USA,BRYANT  Precy D ,Sport
Burundi,USA,GOODRICH  Hunter,Biathlon
Belgium,USA,HACKNEY  Clement,Sport
Benin,USA,HOMBURGER  Henry A ,Biathlon
Bermuda,USA,HORTON  Edmund C,Sport
Bhutan,USA,LIPSON  Howard S,Biathlon
Bosnia and Herzegovina,USA,MARTIN  Harry G,Sport
Belize,USA,STEVENS  Curtis,Biathlon
Belarus,USA,STEVENS  Francis Paul,Sport
Bohemia-CZECH,USA,BRYANT  Precy D ,Biathlon
Bolivia,USA,HEATON  John,Sport
Botswana,USA,HOMBURGER  Henry A ,Biathlon
Brazil,USA,MARTIN  Harry G,Sport
Bahrain,USA,MINTON  Robert,Biathlon
Brunei,USA,STEVENS  J  Hubert,Sport
Bulgaria,USA,ARTHUR  Adams,Biathlon
Burkina Faso,USA,STEVENS  Curtis,Sport
British West Indies ,SUI,CAPADRUTT  Reto,Biathlon
Central African Republic,SUI,FONJALLAZ  Gaston,Sport
Cambodia,SUI,FONJALLAZ  Gustave,Biathlon
Canada,SUI,FONJALLAZ  Ren«∏,Sport
Cayman Islands,SUI,GEIER  Oscar,Biathlon
Congo,SUI,JENNY  Charles,Sport
Chad,SUI,KLOETTA  Antoine,Biathlon
Chile,SUI,STAUFFER  William,Sport
China,GER,BALL  Rudolf,Biathlon
Cote dIvoire,GER,HEINRICH  Alfred,Sport
Cameroon,GER,HERKER  Erich,Biathlon
Congo  Dem Rep,GER,J«?NECKE  Gustav,Sport
Cook Islands,GER,KORFF  Werner,Biathlon
Colombia,GER,LEINWEBER  Walter,Sport
Comoros,GER,R«?MER  Erich,Biathlon
Cape Verde,GER,SCHR«?TTLE  Martin,Sport
Costa Rica,GER,SLEVOGT  Marquardt,Biathlon
Croatia,GER,STROBL  Georg,Sport
Cuba,CAN,COCKBURN  William George,Biathlon
Cyprus,CAN,CROWLEY  Clifford,Sport
Czech Republic,CAN,DUNCANSON  Albert,Biathlon
Denmark,CAN,GARBUTT  George,Sport
Djibouti,CAN,HINKEL  Roy,Biathlon
Dominica,CAN,LINDQUIST  C  Victor,Sport
Dominican Republic,CAN,MALLOY  Norman,Biathlon
Ecuador,CAN,MONSON  Walter,Sport
Egypt,CAN,MOORE  Kenneth,Biathlon
Eritrea,CAN,RIVERS  N Romeo,Sport
El Salvador,CAN,SIMPSON  Harold,Biathlon
Spain,CAN,SUTHERLAND  Hugh,Sport
Estonia,CAN,WAGNER  W  Stanley,Biathlon
Ethiopia,CAN,WISE  J  Alliston,Sport
United Team of Germany ,USA,ANDERSON  Osborn,Biathlon
Unified Team,USA,BENT  John Peale,Sport
Fiji,USA,CHASE  John Pierce,Biathlon
Finland,USA,COOKMAN  John Emery,Sport
France,USA,EVERETT  Douglas Newton,Biathlon
West Germany,USA,FARRELL  Franklin,Sport
Micronesia,USA,FITZGERALD  Joseph,Biathlon
Gabon,USA,FRAZIER  Edward Hartwell,Sport
Gambia,USA,GARRISON  John Bright,Biathlon
United Kingdom,USA,HALLOCK  Gerard,Sport
Guinea-Bissau,USA,LIVINGSTON  Robert Cambridge,Biathlon
East Germany,USA,NELSON  Francis Augustus,Sport
Georgia,USA,PALMER  Winthrop Hale,Biathlon
Equatorial Guinea,USA,SMITH  Gordon,Sport
Germany,CAN,WILSON  Montgomery,Biathlon
Ghana,AUT,SCH«?FER  Karl,Sport
Greece,SWE,GRAFSTR«?M  Gillis,Biathlon
Grenada,USA,VINSON  Maribel,Sport
Guatemala,NOR,HENIE  Sonja,Biathlon
Guinea,AUT,BURGER  Fritzi,Sport
Guam,HUN,ROTTER  Emilia,Biathlon
Guyana,HUN,SZOLLAS  Laszlo,Sport
Haiti,FRA,BRUNET  Andr«∏e,Biathlon
Hong Kong,FRA,BRUNET  Pierre,Sport
Honduras,USA,BADGER  Sherwin,Biathlon
Hungary,USA,LOUGHRAN  Beatrix,Sport
Indonesia,CAN,STACK  Frank,Biathlon
India,USA,JAFFEE  Irving,Sport
IOP,NOR,BALLANGRUD  Ivar,Biathlon
Iran,CAN,LOGAN  William F ,Sport
Ireland,USA,SHEA  John A ,Biathlon
Iraq,CAN,HURD  Alexander,Sport
Iceland,CAN,LOGAN  William F ,Biathlon
Israel,USA,JAFFEE  Irving,Sport
Virgin Islands,USA,MURPHY  Edward,Biathlon
Italy,CAN,HURD  Alexander,Sport
British Virgin Islands,USA,SHEA  John A ,Biathlon
Jamaica,NOR,EVENSEN  Bernt,Sport
Jordan,FIN,SAARINEN  Veli,Biathlon
Japan,SWE,UTTERSTR«?M  Sven,Sport
Kazakhstan,SWE,WIKSTR«?M  Axel,Biathlon
Kenya,NOR,RUSTADSTUEN  Arne,Sport
Kyrgyzstan,FIN,SAARINEN  Veli,Biathlon
Korea  South,FIN,LIIKKANEN  V«œin«Ù,Sport
Saudi Arabia,NOR,VINJARENGEN  Hans,Biathlon
Kuwait,NOR,GROTTUMSBRAATEN  Johan,Sport
Laos,NOR,STENEN  Ole,Biathlon
Latvia,NOR,WALBERG  Kaare,Sport
Libya,NOR,RUUD  Birger,Biathlon
Liberia,NOR,BECK  Hans,Sport
