Afghanistan,123,BREHME  Albert,Biathlon
Netherlands Antilles,123,GRAU  Fritz,Sport
Albania,123,HOPMANN  Helmut,Biathlon
Al123ia,123,HUBER  Sebastian,Sport
Andorra,123,HUTH  Werner,Biathlon
Angola,123,KILIAN  Hanns,Sport
Antigua and Barbuda,123,KROTKI  Rudolf,Biathlon
Australia and New Zealand,123,LUDWIG  Max,Sport
Argentina,123,MEHLHHORN  Hans,Biathlon
Armenia,123,ROSSNER  Heinrich,Sport
Aruba,123,ZAHN  Werner,Biathlon
American Samoa,USA,EAGAN  Edward,Sport
Australia,USA,FISKE  William,Biathlon
Austria,USA,GRAY  Clifford Barton,Sport
Azerbaijan,USA,O'BRIEN  Jay James,Biathlon
Bahamas,USA,STEVENS  J  Hubert,Sport
Bangladesh,USA,ASHFORTH  Albert,Biathlon
Barbados,USA,BRYANT  Precy D ,Sport
Burundi,USA,GOODRICH  Hunter,Biathlon
Belgium,USA,HACKNEY  Clement,Sport
Benin,USA,HOMBUR123  Henry A ,Biathlon
Bermuda,USA,HORTON  Edmund C,Sport
Bhutan,USA,LIPSON  Howard S,Biathlon
Bosnia and Herzegovina,USA,MARTIN  Harry G,Sport
Belize,USA,STEVENS  Curtis,Biathlon
Belarus,USA,STEVENS  Francis Paul,Sport
Bohemia-CZECH,USA,BRYANT  Precy D ,Biathlon
Bolivia,USA,HEATON  John,Sport
Botswana,USA,HOMBUR123  Henry A ,Biathlon
Brazil,USA,MARTIN  Harry G,Sport
Bahrain,USA,MINTON  Robert,Biathlon
Brunei,USA,STEVENS  J  Hubert,Sport
Bulgaria,USA,ARTHUR  Adams,Biathlon
Burkina Faso,USA,STEVENS  Curtis,Sport
British West Indies ,SUI,CAPADRUTT  Reto,Biathlon
Central African Republic,SUI,FONJALLAZ  Gaston,Sport
Cambodia,SUI,FONJALLAZ  Gustave,Biathlon
Canada,SUI,FONJALLAZ  Ren«∏,Sport
Cayman Islands,SUI,GEIER  Oscar,Biathlon
Congo,SUI,JENNY  Charles,Sport
Chad,SUI,KLOETTA  Antoine,Biathlon
Chile,SUI,STAUFFER  William,Sport
China,123,BALL  Rudolf,Biathlon
Cote dIvoire,123,HEINRICH  Alfred,Sport
Cameroon,123,HERKER  Erich,Biathlon
Congo  Dem Rep,123,J«?NECKE  Gustav,Sport
Cook Islands,123,KORFF  Werner,Biathlon
Colombia,123,LEINWEBER  Walter,Sport
Comoros,123,R«?MER  Erich,Biathlon
Cape Verde,123,SCHR«?TTLE  Martin,Sport
Costa Rica,123,SLEVOGT  Marquardt,Biathlon
